,true value,obsevation,kalman filter,kalman smoothing
0,-0.03488944509894251,-0.19015273802750585,-0.1901527372513256,-0.01193443674816752
1,0.06348089823623738,-0.004163904368162746,-0.08575188210666725,0.03789731509815902
2,0.12157318130795147,0.1546944163501781,0.024083760694455947,0.09948983611216954
3,0.12860162539369646,-0.01662219022232045,0.006820404196882124,0.14564656298098275
4,0.20635489304266474,0.1105654374474053,0.049671832731525284,0.237175377815053
5,0.2645507675632066,0.6579361681527209,0.2985812770160876,0.36410569317362423
6,0.41172982023826193,0.425340146084697,0.3502826409612177,0.4088778487235612
7,0.578047921126982,0.5808966954579317,0.44423509927338284,0.4490469689433144
8,0.5519302089942622,0.3452246225259965,0.4039144691912082,0.4523494880983439
9,0.48306252770395375,0.28271298224871527,0.3545639000467229,0.4856052713788781
10,0.413570201468826,0.5330485596065736,0.42723526906248643,0.5755919200180223
11,0.6076125474287682,0.6304965987692245,0.509993187150699,0.6774741496166594
12,0.7881540664680501,0.6981839627779306,0.5866146496172481,0.7924918074931713
13,0.8337854516738168,1.2840928631550306,0.8705907598062015,0.9338789526663083
14,0.7763042476841536,1.2689488834847669,1.0327809209961536,0.977342523277664
15,0.7877222980330219,0.7897047126408614,0.9338132924472947,0.9392698204823429
16,0.9390803749345303,0.8752537170141981,0.909970968260453,0.9430171298307936
17,0.9741935589732078,0.9618388076483964,0.9310887750637618,0.9657118179348357
18,0.9653002375811589,1.0866145180596782,0.9944105288506921,0.9894894413541355
19,1.0569956604039494,0.7280663281102409,0.8859694340983019,0.9861098491239438
20,1.1075601729533464,1.1552111730330716,0.9955902510706426,1.054881999624096
21,1.0260330619659268,1.1651531063657554,1.0646271648483157,1.0956010345888727
22,1.0649481570667463,1.133073767149082,1.092494955658671,1.116872562522688
23,1.0224519100275509,1.2628226099960864,1.1618432546310395,1.1336140594619908
24,1.026414225221956,1.2393293994667134,1.1933914630477271,1.1142274565363035
25,0.9736178330296421,1.1479685435359857,1.17489768284123,1.059861005382217
26,0.9225874651000697,0.8104361214151342,1.026508453721549,0.9808587393062862
27,0.833758950154517,0.9812415402749832,1.008078190829974,0.9495084694254509
28,0.9425214235797366,0.6532733571533269,0.8636206640852164,0.9092852917692732
29,1.0098606499527987,0.9303021271843466,0.8907697847417849,0.9406458034448126
30,0.9031289462729477,1.0148995374111434,0.941308772275402,0.974898518208805
31,1.0249339446692163,0.8702221264961301,0.9123660971504876,0.997966517948368
32,1.3613051994935963,1.1171831745086582,0.995756642097827,1.0567532229322945
33,1.2780798591939022,1.3814755312695843,1.1528007166417997,1.0986430637662647
34,1.2440450211402,0.980855622388003,1.0827938827596264,1.0614499059226432
