,true value,obsevation,kalman filter,kalman smoothing
0,-0.03488944509894251,-0.19015273802750585,-0.19015273782100214,-0.07096120259640622
1,0.06348089823623738,-0.004163904368162746,-0.004163912515261103,0.006050378601999848
2,0.12157318130795147,0.1546944163501781,0.1592143180273848,0.08276991316829245
3,0.12860162539369646,-0.01662219022232045,0.08774337572918287,0.15888032712195493
4,0.20635489304266474,0.1105654374474053,0.12848174647929567,0.2342407780433592
5,0.2645507675632066,0.6579361681527209,0.43464096866904295,0.30828040201529094
6,0.41172982023826193,0.425340146084697,0.4978984581486404,0.38012530211575013
7,0.578047921126982,0.5808966954579317,0.5976110975482621,0.4497583183999036
8,0.5519302089942622,0.3452246225259965,0.5671562529084911,0.5172730776809186
9,0.48306252770395375,0.28271298224871527,0.5184950572254359,0.5830845259310625
10,0.413570201468826,0.5330485596065736,0.5630762799333517,0.6471860508711152
11,0.6076125474287682,0.6304965987692245,0.6235429708685564,0.7088350609151115
12,0.7881540664680501,0.6981839627779306,0.6864290218661592,0.7670093013949449
13,0.8337854516738168,1.2840928631550306,0.9034307949064777,0.8204945704082418
14,0.7763042476841536,1.2689488834847669,1.0673166755509502,0.8679080281571022
15,0.7877222980330219,0.7897047126408614,1.0580725115697232,0.9090027571947354
16,0.9390803749345303,0.8752537170141981,1.0648703814582263,0.9445144823282041
17,0.9741935589732078,0.9618388076483964,1.0861106680394843,0.9748866207409982
18,0.9653002375811589,1.0866145180596782,1.1305751859684676,1.000392884825611
19,1.0569956604039494,0.7280663281102409,1.0637810949314448,1.0212750168340936
20,1.1075601729533464,1.1552111730330716,1.116925982579916,1.0379860218334676
21,1.0260330619659268,1.1651531063657554,1.1599770045402196,1.050260476224666
22,1.0649481570667463,1.133073767149082,1.182912438018649,1.0581201849671453
23,1.0224519100275509,1.2628226099960864,1.2326457420839938,1.0618684663662843
24,1.026414225221956,1.2393293994667134,1.2638414382921677,1.061992292227969
25,0.9736178330296421,1.1479685435359857,1.2608361829391714,1.0594710181888036
26,0.9225874651000697,0.8104361214151342,1.1625326987221234,1.0557185165498109
27,0.833758950154517,0.9812415402749832,1.1221440000160197,1.0523654988856532
28,0.9425214235797366,0.6532733571533269,0.9979863047092337,1.0504416785375483
29,1.0098606499527987,0.9303021271843466,0.9677885612707758,1.0508024988039912
30,0.9031289462729477,1.0148995374111434,0.9670601837077419,1.0533302493276766
31,1.0249339446692163,0.8702221264961301,0.9294163000841258,1.0576119661501067
32,1.3613051994935963,1.1171831745086582,0.9662495973282195,1.0631405212372913
33,1.2780798591939022,1.3814755312695843,1.070981486509578,1.0689496383863188
